"filename", "language", "Java", "Gradle", "JSON", "Batch", "Markdown", "Java Properties", "comment", "blank", "total"
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/.wpilib/wpilib_preferences.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/WPILib-License.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 3, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/build.gradle", "Gradle", 0, 61, 0, 0, 0, 0, 20, 21, 102
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/gradlew.bat", "Batch", 0, 0, 0, 41, 0, 0, 30, 22, 93
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/networktables.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/settings.gradle", "Gradle", 0, 28, 0, 0, 0, 0, 0, 3, 31
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/simgui-ds.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 1, 93
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/simgui.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 1, 34
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/deploy/pathplanner/navgrid.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/Constants.java", "Java", 125, 0, 0, 0, 0, 0, 10, 28, 163
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/Main.java", "Java", 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/Robot.java", "Java", 47, 0, 0, 0, 0, 0, 6, 21, 74
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/RobotContainer.java", "Java", 137, 0, 0, 0, 0, 0, 73, 36, 246
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmBrakeMode.java", "Java", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmCoastMode.java", "Java", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmDown.java", "Java", 0, 0, 0, 0, 0, 0, 18, 7, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmInitialize.java", "Java", 17, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmIntake.java", "Java", 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmPlace.java", "Java", 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmSafe.java", "Java", 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmShoot.java", "Java", 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/arm/ArmUp.java", "Java", 0, 0, 0, 0, 0, 0, 18, 7, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/auto/FiveNoteAuto.java", "Java", 30, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/auto/FourNoteAuto.java", "Java", 30, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/auto/SweepAutoBlue.java", "Java", 30, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/auto/SweepAutoRed.java", "Java", 30, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/auto/ThreeNoteLong.java", "Java", 30, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/auto/TwoNoteLongRed.java", "Java", 30, 0, 0, 0, 0, 0, 4, 8, 42
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/climber/ClimbDown.java", "Java", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/climber/ClimbUp.java", "Java", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/climber/LeftClimbDown.java", "Java", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/climber/LeftClimbUp.java", "Java", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/climber/RightClimbDown.java", "Java", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/climber/RightClimbUp.java", "Java", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/intake/IntakeIn.java", "Java", 18, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/shooter/AutoShooter.java", "Java", 17, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/shooter/ShootAmp.java", "Java", 18, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/shooter/ShootSpeaker.java", "Java", 18, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/shooter/SmartShoot.java", "Java", 32, 0, 0, 0, 0, 0, 0, 11, 43
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/skipper/AutoSkipShooter.java", "Java", 26, 0, 0, 0, 0, 0, 0, 7, 33
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/skipper/SkipAmp.java", "Java", 18, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/skipper/SkipShooter.java", "Java", 18, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/skipper/SmartSkip.java", "Java", 36, 0, 0, 0, 0, 0, 0, 10, 46
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/swerve/Swerve.java", "Java", 60, 0, 0, 0, 0, 0, 8, 20, 88
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/commands/vision/VisionAlign.java", "Java", 0, 0, 0, 0, 0, 0, 18, 10, 28
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/Arm.java", "Java", 98, 0, 0, 0, 0, 0, 3, 31, 132
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/ArmOpen.java", "Java", 0, 0, 0, 0, 0, 0, 34, 14, 48
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/Climber.java", "Java", 38, 0, 0, 0, 0, 0, 0, 14, 52
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/Intake.java", "Java", 21, 0, 0, 0, 0, 0, 3, 9, 33
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/Sensor.java", "Java", 10, 0, 0, 0, 0, 0, 3, 8, 21
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/Shooter.java", "Java", 29, 0, 0, 0, 0, 0, 2, 11, 42
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/Skipper.java", "Java", 17, 0, 0, 0, 0, 0, 1, 9, 27
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/SwerveModule.java", "Java", 81, 0, 0, 0, 0, 0, 20, 32, 133
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/SwerveSubsystem.java", "Java", 148, 0, 0, 0, 0, 0, 21, 36, 205
"/Users/bradyspak/Desktop/Robotics/2024 FRC/Main/src/main/java/frc/robot/subsystems/Vision.java", "Java", 79, 0, 0, 0, 0, 0, 0, 22, 101
